"method","fold","c_index","auc","runtime","n","p","n_main","n_int","beta_main","beta_int","censparam","lambda"
"sNPDR",1,0.65,0.206422803769615,9.57899999999972,200,1000,50,2,0.7,0.1,0.25,0.01
"Cox",1,0.783333333333333,0.241762557802492,1.44300000000021,200,1000,50,2,0.7,0.1,0.25,0.01
"SVM",1,0.566666666666667,0.101336589185865,1.01200000000063,200,1000,50,2,0.7,0.1,0.25,0.01
"Ranger",1,0.783333333333333,0.289610369073476,5.11899999999969,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDRL",1,0.75,0.126234925567018,10.6730000000007,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDR",2,0.91304347826087,0.163708235054947,9.21499999999924,200,1000,50,2,0.7,0.1,0.25,0.01
"Cox",2,0.858695652173913,0.216769818865382,1.25999999999931,200,1000,50,2,0.7,0.1,0.25,0.01
"SVM",2,0.58695652173913,0.104767363205705,1.0029999999997,200,1000,50,2,0.7,0.1,0.25,0.01
"Ranger",2,0.66304347826087,0.189393560004459,5.10999999999967,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDRL",2,0.804347826086957,0.127127062392158,8.375,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDR",3,0.644736842105263,0.161701203154705,10.5100000000002,200,1000,50,2,0.7,0.1,0.25,0.01
"Cox",3,0.81578947368421,0.227053943026769,1.26200000000063,200,1000,50,2,0.7,0.1,0.25,0.01
"SVM",3,0.328947368421053,0.149335898450602,1.05400000000009,200,1000,50,2,0.7,0.1,0.25,0.01
"Ranger",3,0.539473684210526,0.177379213632669,5.57499999999982,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDRL",3,0.789473684210526,0.108229832499473,5.97800000000007,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDR",4,0.654545454545455,0.188207508535976,10.8770000000004,200,1000,50,2,0.7,0.1,0.25,0.01
"Cox",4,0.672727272727273,0.231233700972771,1.38600000000042,200,1000,50,2,0.7,0.1,0.25,0.01
"SVM",4,0.636363636363636,0.131641727747546,1.05000000000018,200,1000,50,2,0.7,0.1,0.25,0.01
"Ranger",4,0.472727272727273,0.337396787319407,5.46600000000035,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDRL",4,0.381818181818182,0.15209756427192,7.83399999999983,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDR",5,0.666666666666667,0.247349335811647,9.22199999999975,200,1000,50,2,0.7,0.1,0.25,0.01
"Cox",5,0.8,0.248373783606398,1.33500000000004,200,1000,50,2,0.7,0.1,0.25,0.01
"SVM",5,0.485714285714286,0.127537887229733,0.971999999999753,200,1000,50,2,0.7,0.1,0.25,0.01
"Ranger",5,0.628571428571429,0.210687686014612,5.02799999999934,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDRL",5,0.542857142857143,0.141441777257949,7.62800000000061,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDR",6,0.622641509433962,0.192897822746323,9.02500000000055,200,1000,50,2,0.7,0.1,0.25,0.01
"Cox",6,0.584905660377359,0.230065876947095,1.29100000000017,200,1000,50,2,0.7,0.1,0.25,0.01
"SVM",6,0.339622641509434,0.139475268038831,0.985000000000582,200,1000,50,2,0.7,0.1,0.25,0.01
"Ranger",6,0.773584905660377,0.331724301617685,5.09400000000005,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDRL",6,0.528301886792453,0.145050219105344,4.6899999999996,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDR",7,0.670454545454545,0.164445469956894,9.30699999999979,200,1000,50,2,0.7,0.1,0.25,0.01
"Cox",7,0.715909090909091,0.219972746939969,1.38799999999992,200,1000,50,2,0.7,0.1,0.25,0.01
"SVM",7,0.465909090909091,0.118242700009494,1.10400000000027,200,1000,50,2,0.7,0.1,0.25,0.01
"Ranger",7,0.295454545454545,0.218449462981677,4.98800000000028,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDRL",7,0.738636363636364,0.129400429764015,6.11400000000049,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDR",8,0.630252100840336,0.224831284126395,9.12700000000041,200,1000,50,2,0.7,0.1,0.25,0.01
"Cox",8,0.487394957983193,0.226611381529104,1.25399999999991,200,1000,50,2,0.7,0.1,0.25,0.01
"SVM",8,0.411764705882353,0.130096197272599,0.951000000000022,200,1000,50,2,0.7,0.1,0.25,0.01
"Ranger",8,0.378151260504202,0.144362345801187,4.81700000000001,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDRL",8,0.621848739495798,0.172714934751169,8.20799999999963,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDR",9,0.713178294573643,0.205658329447151,10.9560000000001,200,1000,50,2,0.7,0.1,0.25,0.01
"Cox",9,0.558139534883721,0.218098327659779,1.25500000000011,200,1000,50,2,0.7,0.1,0.25,0.01
"SVM",9,0.589147286821705,0.126719493639855,1.05199999999968,200,1000,50,2,0.7,0.1,0.25,0.01
"Ranger",9,0.612403100775194,0.127739272415898,4.92500000000018,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDRL",9,0.589147286821705,0.153805004135192,10.3689999999997,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDR",10,0.805970149253731,0.172418702595982,9.85300000000007,200,1000,50,2,0.7,0.1,0.25,0.01
"Cox",10,0.940298507462687,0.22536703115326,1.26100000000042,200,1000,50,2,0.7,0.1,0.25,0.01
"SVM",10,0.343283582089552,0.120471299218635,0.940999999999804,200,1000,50,2,0.7,0.1,0.25,0.01
"Ranger",10,0.671641791044776,0.145921248858228,4.98499999999967,200,1000,50,2,0.7,0.1,0.25,0.01
"sNPDRL",10,0.671641791044776,0.172598575227724,8.75699999999961,200,1000,50,2,0.7,0.1,0.25,0.01
